UID,N,M,i,$\alpha_{i}$,First Contributor,r,$\beta$,$\epsilon$,$\rho_{C},$p_{C}$,Process
614c3078-d0f8-477b-9fec-091e418a865e,2,20,0,19.8,0,1.5,0.01,0.001,0.499950002499875,,MP
614c3078-d0f8-477b-9fec-091e418a865e,2,20,1,0.2,0,1.5,0.01,0.001,0.499950002499875,,MP
a8d40076-64aa-4f89-a9ce-30fbfd2f4989,2,20,0,19.8,1,1.5,0.01,0.001,0.49507438181004026,,MP
a8d40076-64aa-4f89-a9ce-30fbfd2f4989,2,20,1,0.2,1,1.5,0.01,0.001,0.49507438181004026,,MP
961d32b5-b8a9-4dfe-8baa-f827dbbfaac9,3,20,0,19.599999999999998,0,1.5,0.01,0.001,0.2640855055207477,,Fermi
961d32b5-b8a9-4dfe-8baa-f827dbbfaac9,3,20,1,0.2,0,1.5,0.01,0.001,0.2640855055207477,,Fermi
961d32b5-b8a9-4dfe-8baa-f827dbbfaac9,3,20,2,0.2,0,1.5,0.01,0.001,0.2640855055207477,,Fermi
7d4ed25e-6ca3-4e7f-9417-ad8642e1846e,3,20,0,19.599999999999998,1,1.5,0.01,0.001,0.2640855055207477,,Fermi
7d4ed25e-6ca3-4e7f-9417-ad8642e1846e,3,20,1,0.2,1,1.5,0.01,0.001,0.2640855055207477,,Fermi
7d4ed25e-6ca3-4e7f-9417-ad8642e1846e,3,20,2,0.2,1,1.5,0.01,0.001,0.2640855055207477,,Fermi
ace5529e-3fb5-4ab6-9665-b43921f79733,3,20,0,19.599999999999998,2,1.5,0.01,0.001,0.6283633029354879,,Fermi
ace5529e-3fb5-4ab6-9665-b43921f79733,3,20,1,0.2,2,1.5,0.01,0.001,0.6283633029354879,,Fermi
ace5529e-3fb5-4ab6-9665-b43921f79733,3,20,2,0.2,2,1.5,0.01,0.001,0.6283633029354879,,Fermi
aa08e384-6b44-45e0-9abf-89462af78de1,4,20,0,19.4,0,1.5,0.01,0.001,0.1487664906206319,,II
aa08e384-6b44-45e0-9abf-89462af78de1,4,20,1,0.2,0,1.5,0.01,0.001,0.1487664906206319,,II
aa08e384-6b44-45e0-9abf-89462af78de1,4,20,2,0.2,0,1.5,0.01,0.001,0.1487664906206319,,II
aa08e384-6b44-45e0-9abf-89462af78de1,4,20,3,0.2,0,1.5,0.01,0.001,0.1487664906206319,,II
c931946c-9488-4a04-9d1c-54d20c814be3,4,20,0,19.4,1,1.5,0.01,0.001,0.14876649062063182,,II
c931946c-9488-4a04-9d1c-54d20c814be3,4,20,1,0.2,1,1.5,0.01,0.001,0.14876649062063182,,II
c931946c-9488-4a04-9d1c-54d20c814be3,4,20,2,0.2,1,1.5,0.01,0.001,0.14876649062063182,,II
c931946c-9488-4a04-9d1c-54d20c814be3,4,20,3,0.2,1,1.5,0.01,0.001,0.14876649062063182,,II
98601b89-d2aa-438b-8dcb-1eee269598c1,4,20,0,19.4,2,1.5,0.01,0.001,0.32545082875611486,,II
98601b89-d2aa-438b-8dcb-1eee269598c1,4,20,1,0.2,2,1.5,0.01,0.001,0.32545082875611486,,II
98601b89-d2aa-438b-8dcb-1eee269598c1,4,20,2,0.2,2,1.5,0.01,0.001,0.32545082875611486,,II
98601b89-d2aa-438b-8dcb-1eee269598c1,4,20,3,0.2,2,1.5,0.01,0.001,0.32545082875611486,,II
1f6f8fbc-b261-48ac-9cb1-ef083b1fb5c2,4,20,0,19.4,3,1.5,0.01,0.001,0.14876649062063194,,II
1f6f8fbc-b261-48ac-9cb1-ef083b1fb5c2,4,20,1,0.2,3,1.5,0.01,0.001,0.14876649062063194,,II
1f6f8fbc-b261-48ac-9cb1-ef083b1fb5c2,4,20,2,0.2,3,1.5,0.01,0.001,0.14876649062063194,,II
1f6f8fbc-b261-48ac-9cb1-ef083b1fb5c2,4,20,3,0.2,3,1.5,0.01,0.001,0.14876649062063194,,II
a1c1e95d-ca89-4e04-829e-bf9086b48fe1,5,20,0,19.2,,1.5,0.01,0.001,,(0.012570110554940051+0j),Intro
a1c1e95d-ca89-4e04-829e-bf9086b48fe1,5,20,1,0.2,,1.5,0.01,0.001,,(0.012570110554940051+0j),Intro
a1c1e95d-ca89-4e04-829e-bf9086b48fe1,5,20,2,0.2,,1.5,0.01,0.001,,(0.012570110554940051+0j),Intro
a1c1e95d-ca89-4e04-829e-bf9086b48fe1,5,20,3,0.2,,1.5,0.01,0.001,,(0.012570110554940051+0j),Intro
a1c1e95d-ca89-4e04-829e-bf9086b48fe1,5,20,4,0.2,,1.5,0.01,0.001,,(0.012570110554940051+0j),Intro
f4b6cdcc-c017-4299-ab61-1aae8fbec701,6,20,0,19.0,0,1.5,0.01,0.001,0.16567097011588358,,MP
f4b6cdcc-c017-4299-ab61-1aae8fbec701,6,20,1,0.2,0,1.5,0.01,0.001,0.16567097011588358,,MP
f4b6cdcc-c017-4299-ab61-1aae8fbec701,6,20,2,0.2,0,1.5,0.01,0.001,0.16567097011588358,,MP
f4b6cdcc-c017-4299-ab61-1aae8fbec701,6,20,3,0.2,0,1.5,0.01,0.001,0.16567097011588358,,MP
f4b6cdcc-c017-4299-ab61-1aae8fbec701,6,20,4,0.2,0,1.5,0.01,0.001,0.16567097011588358,,MP
f4b6cdcc-c017-4299-ab61-1aae8fbec701,6,20,5,0.2,0,1.5,0.01,0.001,0.16567097011588358,,MP
36f98e35-2684-4b7e-8e0d-0a30bb238769,6,20,0,19.0,1,1.5,0.01,0.001,0.16567097011588355,,MP
36f98e35-2684-4b7e-8e0d-0a30bb238769,6,20,1,0.2,1,1.5,0.01,0.001,0.16567097011588355,,MP
36f98e35-2684-4b7e-8e0d-0a30bb238769,6,20,2,0.2,1,1.5,0.01,0.001,0.16567097011588355,,MP
36f98e35-2684-4b7e-8e0d-0a30bb238769,6,20,3,0.2,1,1.5,0.01,0.001,0.16567097011588355,,MP
36f98e35-2684-4b7e-8e0d-0a30bb238769,6,20,4,0.2,1,1.5,0.01,0.001,0.16567097011588355,,MP
36f98e35-2684-4b7e-8e0d-0a30bb238769,6,20,5,0.2,1,1.5,0.01,0.001,0.16567097011588355,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,0,19.0,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,1,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,2,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,3,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,4,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,5,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,0,19.0,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,1,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,2,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,3,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,4,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,5,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,0,19.0,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,1,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,2,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,3,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,4,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,5,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,0,19.0,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,1,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,2,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,3,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,4,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,5,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
648109ad-099d-4656-9496-6da2880ca550,6,20,0,9.6,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,1,9.6,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,2,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,3,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,4,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,5,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,0,9.6,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,1,9.6,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,2,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,3,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,4,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,5,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,0,9.6,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,1,9.6,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,2,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,3,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,4,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,5,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,0,9.6,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,1,9.6,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,2,0.2,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
